id_persona,departamento,zona,contexto_sociocultural,id_centro,aprobado,puntos,actividades_acumuladas_3,actividades_acumuladas_4,actividades_acumuladas_5,actividades_acumuladas_6,actividades_acumuladas_7,preguntas_acumuladas_3,preguntas_acumuladas_4,preguntas_acumuladas_5,preguntas_acumuladas_6,preguntas_acumuladas_7,correctas_acumuladas_3,correctas_acumuladas_4,correctas_acumuladas_5,correctas_acumuladas_6,correctas_acumuladas_7,intenta.prom_3,intenta.prom_4,intenta.prom_5,intenta.prom_6,intenta.prom_7,activ.prom_3,activ.prom_4,activ.prom_5,activ.prom_6,activ.prom_7,pregu.prom_3,pregu.prom_4,pregu.prom_5,pregu.prom_6,pregu.prom_7,pts.min_3,pts.min_4,pts.min_5,pts.min_6,pts.min_7,pts.max_3,pts.max_4,pts.max_5,pts.max_6,pts.max_7,acierto_3,acierto_4,acierto_5,acierto_6,acierto_7,dias_acumulados_3,dias_acumulados_4,dias_acumulados_5,dias_acumulados_6,dias_acumulados_7,intentos_acumulados_3,intentos_acumulados_4,intentos_acumulados_5,intentos_acumulados_6,intentos_acumulados_7,actividades_asignadas_acumuladas_3,actividades_asignadas_acumuladas_4,actividades_asignadas_acumuladas_5,actividades_asignadas_acumuladas_6,actividades_asignadas_acumuladas_7,porc_actividades_hechas_3,porc_actividades_hechas_4,porc_actividades_hechas_5,porc_actividades_hechas_6,porc_actividades_hechas_7,mensajes_enviados_acumulados_3,mensajes_enviados_acumulados_4,mensajes_enviados_acumulados_5,mensajes_enviados_acumulados_6,mensajes_enviados_acumulados_7,mensajes_recibidos_acumulados_3,mensajes_recibidos_acumulados_4,mensajes_recibidos_acumulados_5,mensajes_recibidos_acumulados_6,mensajes_recibidos_acumulados_7,mensajes_hilos_acumulados_3,mensajes_hilos_acumulados_4,mensajes_hilos_acumulados_5,mensajes_hilos_acumulados_6,mensajes_hilos_acumulados_7,class_lb_3,class_lb_4,class_lb_5,class_lb_6,class_lb_7
1874838,RIVERA,Urbana,Quintil 5,2415,0,525.58,0,0,0,0,1,0,0,0,0,30,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0.333333333333333,0,0,0,0,30,0,0,0,0,0.366666666666667,0,0,0,0,0.366666666666667,0,0,0,0,0.366666666666667,0,0,0,0,3,0,0,0,0,3,9,33,75,99,109,0,0,0,0,0.0091743119266055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1016,1016,1016,1016,1016
672384,CANELONES,Urbana,Quintil 2,1221,0,320.32,0,0,0,2,2,0,0,0,15,15,0,0,0,3,3,0,0,0,1,0,0,0,0,2,0,0,0,0,7.5,0,0,0,0,0.15,0,0,0,0,0.15,0,0,0,0,0.15,0,0,0,0,1,1,0,0,0,2,2,9,38,80,104,128,0,0,0,0.0192307692307692,0.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886,1886,1886,1886,1886
607795,CANELONES,Urbana,Quintil 2,1221,0,491.77,9,28,38,45,47,223,395,477,516,536,156,283,344,370,375,4,1.78947368421053,1.2,1,1,1.5,2.375,3.33333333333333,2.33333333333333,2,24.7777777777778,9.05263157894737,8.2,5.57142857142857,10,0.725,0.770416666666667,0.795,0.81,0.21,0.8875,0.865,0.825,0.81,0.21,0.809407327586207,0.807175925925925,0.811666666666665,0.808673469387754,0.20833333333333,6,14,17,20,21,36,70,82,89,91,9,33,75,99,109,1,0.848484848484848,0.506666666666667,0.454545454545455,0.431192660550459,2,2,2,2,2,2,2,2,3,3,2,2,2,3,3,1785,1785,1785,1785,1785
884535,MONTEVIDEO,Urbana,Quintil 1,988,0,449.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,561,561,561,561
650902,CANELONES,Urbana,Quintil 3,1168,0,409.3,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,9,24,48,72,76,0,0,0,0.0138888888888889,0.0131578947368421,0,0,0,23,30,0,0,0,2,4,0,0,0,20,26,1280,1280,1280,1280,1280
645975,CANELONES,Urbana,Quintil 5,1325,0,408.95,1,6,6,6,6,1,112,112,112,112,1,72,72,72,72,1,2.6,0,0,0,1,2.5,0,0,0,1,22.2,0,0,0,1,0.88,0,0,0,1,0.94,0,0,0,1,0.91111111111111,0,0,0,1,3,3,3,3,1,14,14,14,14,9,27,69,93,103,0.111111111111111,0.222222222222222,0.0869565217391304,0.0645161290322581,0.058252427184466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,968,968,968,968,968
1036079,MONTEVIDEO,Urbana,Quintil 2,948,1,538.61,0,0,0,0,4,0,0,0,0,33,0,0,0,0,17,0,0,0,0,1.5,0,0,0,0,4,0,0,0,0,8.25,0,0,0,0,0.47,0,0,0,0,0.6575,0,0,0,0,0.5625,0,0,0,0,1,0,0,0,0,6,9,33,75,95,95,0,0,0,0,0.0421052631578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1486,1486,1486,1486,1486
647196,LAVALLEJA,Urbana,Quintil 5,1897,0,466.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,46,80,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,831,831,831,831,831
655828,MONTEVIDEO,Urbana,Quintil 2,948,0,493.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,53,88,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1873,1873,1873,1873,1873
662848,CANELONES,Urbana,Quintil 4,1208,1,569.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,75,96,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,767,767,767,767
728503,CANELONES,Urbana,Quintil 2,1221,0,473.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,75,99,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1785,1785,1785,1785,1785
584904,RIO NEGRO,Urbana,Quintil 3,2236,0,479.65,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,9,33,75,95,106,0,0,0,0,0.00943396226415094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639,3639,3639,3639,3639
604881,CANELONES,Urbana,Quintil 4,1201,0,427.59,8,13,13,13,13,67,88,88,88,88,51,62,62,62,62,1.625,1,0,0,0,2.66666666666667,2.5,0,0,0,8.375,4.2,0,0,0,0.8,0.688,0,0,0,0.822222222222222,0.688,0,0,0,0.811111111111111,0.688888888888888,0,0,0,3,5,5,5,5,13,18,18,18,18,9,36,78,98,102,0.888888888888889,0.361111111111111,0.166666666666667,0.13265306122449,0.127450980392157,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1627,1627,1627,1627,1627
624478,CANELONES,Urbana,Quintil 5,1236,0,392.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,33,75,95,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3096,3096,3096,3096,3096
691917,CANELONES,Urbana,Quintil 5,1216,1,568.35,0,0,0,0,3,0,0,0,0,19,0,0,0,0,9,0,0,0,0,1,0,0,0,0,3,0,0,0,0,6.33333333333333,0,0,0,0,0.626666666666667,0,0,0,0,0.626666666666667,0,0,0,0,0.625,0,0,0,0,1,0,0,0,0,3,9,33,75,99,109,0,0,0,0,0.0275229357798165,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2319,2319,2319,2319,2319
618132,CANELONES,Urbana,Quintil 2,1372,1,575.3,0,14,14,14,14,0,65,65,65,65,0,48,48,48,48,0,1.85714285714286,0,0,0,0,4.66666666666667,0,0,0,0,4.64285714285714,0,0,0,0,0.835333333333333,0,0,0,0,0.882,0,0,0,0,0.867222222222222,0,0,0,0,3,3,3,3,0,26,26,26,26,9,27,52,81,81,0,0.518518518518519,0.269230769230769,0.17283950617284,0.17283950617284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3316,3316,3316,3316,3316
